2020-02-24 14:53:36,235 | roomBot.tools | INFO 	| Hello from @fortest1488bot!
2020-02-24 14:53:36,306 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-02-24 14:53:36,306 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-02-24 14:53:36,306 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-02-24 14:53:36,307 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-02-24 14:55:56,628 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-02-24 14:55:56,699 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-02-24 14:55:56,699 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-02-24 14:55:56,700 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-02-24 14:55:56,701 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-02-24 14:56:43,987 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-02-24 14:56:44,054 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-02-24 14:56:44,054 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-02-24 14:56:44,055 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-02-24 14:56:44,055 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-02-24 14:56:44,639 | roomBot.tools | INFO 	| Checked time
2020-02-24 14:58:25,832 | roomBot.tools | INFO 	| Checked time
2020-02-24 15:00:07,022 | roomBot.tools | INFO 	| Checked time
2020-02-24 15:01:48,216 | roomBot.tools | INFO 	| Checked time
2020-02-24 15:03:29,411 | roomBot.tools | INFO 	| Checked time
2020-02-24 15:05:10,609 | roomBot.tools | INFO 	| Checked time
2020-02-24 15:06:51,801 | roomBot.tools | INFO 	| Checked time
2020-02-24 15:08:32,993 | roomBot.tools | INFO 	| Checked time
2020-02-24 15:10:14,184 | roomBot.tools | INFO 	| Checked time
2020-02-24 15:11:55,376 | roomBot.tools | INFO 	| Checked time
2020-02-24 15:13:36,574 | roomBot.tools | INFO 	| Checked time
2020-02-24 15:15:17,767 | roomBot.tools | INFO 	| Checked time
2020-02-24 15:16:58,957 | roomBot.tools | INFO 	| Checked time
2020-02-24 15:18:40,152 | roomBot.tools | INFO 	| Checked time
2020-02-24 15:20:21,349 | roomBot.tools | INFO 	| Checked time
2020-02-24 15:22:02,546 | roomBot.tools | INFO 	| Checked time
2020-02-24 15:23:43,740 | roomBot.tools | INFO 	| Checked time
2020-02-24 15:25:24,936 | roomBot.tools | INFO 	| Checked time
